1004 1701447372 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447373 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447374 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447375 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447376 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447377 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447378 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447379 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447380 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447381 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447387 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447388 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447389 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447390 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447391 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447392 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447393 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447394 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447395 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447396 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447397 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447398 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447399 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447400 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447401 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447402 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447403 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447404 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447405 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447406 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447417 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447418 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447419 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447420 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447421 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447422 3,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447423 3,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447424 3,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447425 3,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447426 3,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447427 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447428 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447429 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447430 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447431 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447432 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447433 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447434 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447435 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447436 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447437 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447438 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447439 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447440 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447441 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447452 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447453 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447454 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447455 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447456 1,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447457 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447458 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447459 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447460 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447461 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447462 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447463 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447464 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447465 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447466 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447472 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447473 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447474 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447475 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447476 0,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447477 2,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447478 2,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447479 2,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447480 2,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447481 2,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447487 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447488 1,400000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447489 1,400000 -1,000000 -101,000000 0,000000 0,000000
