offline_datapoint_7 1701447322 98,631
offline_datapoint_26 1701447322 4,998
offline_datapoint_19 1701447322 20786,087
offline_datapoint_1 1701447322 0,016
offline_datapoint_8 1701447327 1225898,000
offline_datapoint_2 1701447327 2801,000
offline_datapoint_23 1701447327 417841152,000
offline_datapoint_11 1701447327 365453312,000
offline_datapoint_0 1701447327 9972940800,000
offline_datapoint_6 1701447327 133537792,000
offline_datapoint_22 1701447327 3521,000
offline_datapoint_16 1701447325 21,365
offline_datapoint_5 1701447325 15011,283
offline_datapoint_18 1701447327 133537792,000
offline_datapoint_28 1701447325 7,678
offline_datapoint_17 1701447327 6110584832,000
offline_datapoint_4 1701447327 5913653248,000
offline_datapoint_3 1701447325 0,652
offline_datapoint_9 1701447325 24,630
offline_datapoint_21 1701447325 9,649
offline_datapoint_10 1701447325 19445,434
offline_datapoint_15 1701447327 4,000
offline_datapoint_27 1701447325 30929,560
offline_datapoint_13 1701447325 2532,703
offline_datapoint_25 1701447325 0,474
offline_datapoint_14 1701447325 36,720
offline_datapoint_7 1701447325 99,315
offline_datapoint_26 1701447325 6,343
offline_datapoint_19 1701447325 11133,673
offline_datapoint_1 1701447325 0,014
offline_datapoint_8 1701447330 1225898,000
offline_datapoint_2 1701447330 2800,000
offline_datapoint_23 1701447330 417415168,000
offline_datapoint_11 1701447330 365518848,000
offline_datapoint_0 1701447330 9892728832,000
offline_datapoint_6 1701447330 133328896,000
offline_datapoint_22 1701447330 3545,000
offline_datapoint_16 1701447328 15,951
offline_datapoint_5 1701447328 11665,058
offline_datapoint_18 1701447330 133328896,000
offline_datapoint_28 1701447328 2,659
offline_datapoint_17 1701447330 6040518656,000
offline_datapoint_4 1701447330 5869395968,000
offline_datapoint_3 1701447328 0,260
offline_datapoint_9 1701447328 27,821
offline_datapoint_21 1701447328 11,554
offline_datapoint_10 1701447328 16798,387
offline_datapoint_15 1701447330 0,000
offline_datapoint_27 1701447328 26638,017
offline_datapoint_13 1701447328 2991,867
offline_datapoint_25 1701447328 0,257
offline_datapoint_14 1701447328 40,211
offline_datapoint_7 1701447328 99,668
offline_datapoint_26 1701447328 6,314
offline_datapoint_19 1701447328 11695,603
offline_datapoint_1 1701447328 0,008
offline_datapoint_8 1701447333 1225898,000
offline_datapoint_2 1701447333 2804,000
offline_datapoint_23 1701447333 417845248,000
offline_datapoint_11 1701447333 365547520,000
offline_datapoint_0 1701447333 9881079808,000
offline_datapoint_6 1701447333 133963776,000
offline_datapoint_22 1701447333 3547,000
offline_datapoint_16 1701447331 9,312
offline_datapoint_5 1701447331 11491,993
offline_datapoint_18 1701447333 133963776,000
offline_datapoint_28 1701447331 4,656
offline_datapoint_17 1701447333 6040961024,000
offline_datapoint_4 1701447333 5865938944,000
offline_datapoint_3 1701447331 0,130
offline_datapoint_9 1701447331 11,266
offline_datapoint_21 1701447331 5,586
offline_datapoint_10 1701447331 6613,649
offline_datapoint_15 1701447333 0,000
offline_datapoint_27 1701447331 8306,720
offline_datapoint_13 1701447331 2213,861
offline_datapoint_25 1701447331 0,403
offline_datapoint_14 1701447331 41,238
offline_datapoint_7 1701447331 99,142
offline_datapoint_26 1701447331 4,988
offline_datapoint_19 1701447331 11540,645
offline_datapoint_1 1701447331 0,012
offline_datapoint_8 1701447336 1225898,000
offline_datapoint_2 1701447336 2810,000
offline_datapoint_23 1701447336 419270656,000
offline_datapoint_11 1701447336 365563904,000
offline_datapoint_0 1701447336 9841221632,000
offline_datapoint_6 1701447336 133894144,000
offline_datapoint_22 1701447336 3582,000
offline_datapoint_16 1701447334 1,340
offline_datapoint_5 1701447334 1530,750
offline_datapoint_18 1701447336 133894144,000
offline_datapoint_28 1701447334 1,340
offline_datapoint_17 1701447336 5998964736,000
offline_datapoint_4 1701447336 5824229376,000
offline_datapoint_3 1701447334 0,131
offline_datapoint_9 1701447334 5,917
offline_datapoint_21 1701447334 2,486
offline_datapoint_10 1701447334 2837,365
offline_datapoint_15 1701447336 0,000
offline_datapoint_27 1701447334 3548,967
offline_datapoint_13 1701447334 75,382
offline_datapoint_25 1701447334 0,169
offline_datapoint_14 1701447334 21,442
offline_datapoint_7 1701447334 99,884
offline_datapoint_26 1701447334 4,355
offline_datapoint_19 1701447334 8272,000
offline_datapoint_1 1701447334 0,005
